day,stage,motor_b,throttle,throttle_name,price,ema30,p_kash,price_over_pkash,supply,tokens_burned_total,vault_core_usd,vault_sociedad_usd,r_op_usd,burned_total_usd,recirculated_total_usd,staking_total_usd,om_total_usd,deferred_queue_usd,fee_total_usd,users,buy_pressure,sell_pressure,lp_depth_usd,burn_cap_hit,jaguar_lock_hit
40,1,0,0,ACELERADO,0.007415140939532863,0.005845199681314545,0.0003173752478494478,23.36395478153469,8638651743.415878,1361348256.5841217,2745888.733515,1180635.000029,809.457208,3920000.0,0.0,1680000.0,1680000.0,0.0,280000.0,0.0,140000.0,256201.1680411798,300000.0,False,False
41,1,0,0,ACELERADO,0.007427016330089017,0.005947252368332254,0.0003258127860667831,22.79534950039276,8625456673.465248,1374543326.534752,2814583.192383,1210267.061535,849.93958,4018000.0,0.0,1722000.0,1722000.0,0.0,280000.0,0.0,140000.0,256227.28081988008,300000.0,False,False
42,1,0,0,ACELERADO,0.007438751743846533,0.006043478134494466,0.00033427562921044176,22.25334751868345,8612282420.126162,1387717579.8738384,2883279.95675,1239904.805902,891.410023,4116000.0,0.0,1764000.0,1764000.0,0.0,280000.0,0.0,140000.0,256245.63027320674,300000.0,False,False
43,1,0,0,ACELERADO,0.0074503938064073415,0.006134246887521103,0.00034276384385566357,21.736230177021447,8599128753.011852,1400871246.9881477,2951979.026693,1269548.23422,933.86857,4214000.0,0.0,1806000.0,1806000.0,0.0,280000.0,0.0,140000.0,256258.5234848493,300000.0,False,False
44,1,0,1,NORMAL,0.007461975348146952,0.006219906788206642,0.0003512774943894176,21.242395164305034,8585995501.368997,1414004498.6310034,3020680.40229,1299197.347579,977.315254,4312000.0,0.0,1848000.0,1848000.0,0.0,280000.0,0.0,140000.0,256267.58240775517,300000.0,False,False
45,1,0,1,NORMAL,0.007473519484694923,0.006300785026689758,0.00035981664364084657,20.770355170548108,8572882536.292677,1427117463.707323,3089384.083618,1328852.14707,1021.750108,4410000.0,0.0,1890000.0,1890000.0,0.0,280000.0,0.0,140000.0,256273.94708206435,300000.0,False,False
46,1,0,1,NORMAL,0.007485042492224326,0.006377188734143601,0.00036838135334112587,20.31873335698694,8559789758.248757,1440210241.7512426,3158090.070754,1358512.633783,1067.173166,4508000.0,0.0,1932000.0,1932000.0,0.0,280000.0,0.0,140000.0,256278.4186999366,300000.0,False,False
47,1,0,1,NORMAL,0.007496555832614603,0.00644940596630302,0.0003769716844583072,19.886257089539352,8546717088.320303,1453282911.679697,3226798.363776,1388178.808808,1113.584461,4606000.0,0.0,1974000.0,1974000.0,0.0,280000.0,0.0,140000.0,256281.56025999418,300000.0,False,False
48,1,0,1,NORMAL,0.007508067579399383,0.006517706715535044,0.00038558769744052336,19.47175086040575,8533664462.0667925,1466335537.9332075,3295508.962761,1417850.673237,1160.984026,4704000.0,0.0,2016000.0,2016000.0,0.0,280000.0,0.0,140000.0,256283.76735261787,300000.0,False,False
49,1,0,1,NORMAL,0.007519583421579344,0.006582343922376613,0.00039422945239309413,19.074128977257175,8520631825.216357,1479368174.7836428,3364221.867787,1447528.22816,1209.371894,4802000.0,0.0,2058000.0,2058000.0,0.0,280000.0,0.0,140000.0,256285.31792446546,300000.0,False,False
50,1,0,1,NORMAL,0.0075311073701601495,0.006643554467394906,0.0004028970092066888,18.692388372375934,8507619130.643936,1492380869.3560638,3432937.078931,1477211.474669,1258.748098,4900000.0,0.0,2100000.0,2100000.0,0.0,280000.0,0.0,140000.0,256286.40725711308,300000.0,False,False
51,1,0,1,NORMAL,0.007542642255398747,0.00670156013113709,0.0004115904276505808,18.325601735816033,8494626336.251513,1505373663.7484875,3501654.59627,1506900.413855,1309.112672,4998000.0,0.0,2142000.0,2142000.0,0.0,280000.0,0.0,140000.0,256287.17254923214,300000.0,False,False
52,1,0,1,NORMAL,0.007554190076728316,0.0067565685147236215,0.0004203097674404035,17.972911081109814,8481653403.481141,1518346596.518859,3570374.419883,1536595.046811,1360.465649,5096000.0,0.0,2184000.0,2184000.0,0.0,280000.0,0.0,140000.0,256287.7101905348,300000.0,False,False
53,1,0,1,NORMAL,0.007565752248996364,0.0068087739169347666,0.0004290550882864889,17.633521791366228,8468700296.271874,1531299703.7281256,3639096.549846,1566295.374628,1412.807061,5194000.0,0.0,2226000.0,2226000.0,0.0,280000.0,0.0,140000.0,256288.08789930475,300000.0,False,False
54,1,0,1,NORMAL,0.007577329775733157,0.006858358165889502,0.0004378264499297811,17.306697155798638,8455766980.328064,1544233019.671936,3707820.986236,1596001.398398,1466.136942,5292000.0,0.0,2268000.0,2268000.0,0.0,280000.0,0.0,140000.0,256288.35325038043,300000.0,False,False
55,1,0,1,NORMAL,0.007588923371070977,0.006905491404933468,0.0004466239121676315,16.991753384271604,8442853422.606085,1557146577.3939152,3776547.729132,1625713.119214,1520.455326,5390000.0,0.0,2310000.0,2310000.0,0.0,280000.0,0.0,140000.0,256288.53966680434,300000.0,False,False
56,1,0,1,NORMAL,0.007600533545530269,0.006950332833359069,0.0004554475348716957,16.688055074601333,8429959590.954275,1570040409.0457249,3845276.778609,1655430.538168,1575.762245,5488000.0,0.0,2352000.0,2352000.0,0.0,280000.0,0.0,140000.0,256288.6706293676,300000.0,False,False
57,1,0,1,NORMAL,0.007612160666380665,0.006993031403231431,0.00046429737800248843,16.395011100708537,8417085453.860346,1582914546.1396542,3914008.134747,1685153.656353,1632.057732,5586000.0,0.0,2394000.0,2394000.0,0.0,280000.0,0.0,140000.0,256288.76263405036,300000.0,False,False
58,1,0,1,NORMAL,0.007623805000111936,0.007033726473997916,0.0004731735016181149,16.11207088740336,8404230980.274182,1595769019.7258177,3982741.797622,1714882.474862,1689.341821,5684000.0,0.0,2436000.0,2436000.0,0.0,280000.0,0.0,140000.0,256288.8272697623,300000.0,False,False
59,1,0,1,NORMAL,0.0076354667423170364,0.007072548426792698,0.00048207596588198756,15.83872103714501,8391396139.483524,1608603860.5164757,4051477.767311,1744616.994788,1747.614545,5782000.0,0.0,2478000.0,2478000.0,0.0,280000.0,0.0,140000.0,256288.8726780398,300000.0,False,False
60,1,0,1,NORMAL,0.00764714603871806,0.007109619240465302,0.000491004831068146,15.57448227562698,8378580901.026743,1621419098.973257,4120216.043893,1774357.217225,1806.875937,5880000.0,0.0,2520000.0,2520000.0,0.0,280000.0,0.0,140000.0,256288.9045785361,300000.0,False,False
61,1,0,1,NORMAL,0.007658842999960234,0.00714505303140046,0.0004999601575644713,15.318906685024405,8365785234.631635,1634214765.3683653,4188956.627444,1804103.143266,1867.12603,5978000.0,0.0,2562000.0,2562000.0,0.0,280000.0,0.0,140000.0,256288.9269894618,300000.0,False,False
62,1,0,1,NORMAL,0.007670557712021059,0.007178956559182434,0.0005089420058760899,15.071575196111006,8353009110.172468,1646990889.8275318,4257699.518042,1833854.774005,1928.364858,6076000.0,0.0,2604000.0,2604000.0,0.0,280000.0,0.0,140000.0,256288.94273371674,300000.0,False,False
63,1,0,1,NORMAL,0.007682290243534212,0.007211429700108356,0.0005179504366272229,14.83209531313375,8340252497.639834,1659747502.3601656,4326444.715765,1863612.110537,1990.592453,6174000.0,0.0,2646000.0,2646000.0,0.0,280000.0,0.0,140000.0,256288.95379446234,300000.0,False,False
64,1,0,1,NORMAL,0.007694040650942698,0.007242565890484765,0.0005269855105625126,14.600099047751726,8327515367.119476,1672484632.8805237,4395192.220689,1893375.153955,2053.808849,6272000.0,0.0,2688000.0,2688000.0,0.0,280000.0,0.0,140000.0,256288.9615649214,300000.0,False,False
65,1,0,1,NORMAL,0.007705808982124623,0.007272452541558305,0.0005360472885488168,14.375241040740512,8314797688.777419,1685202311.222581,4463942.032893,1923143.905354,2118.014079,6370000.0,0.0,2730000.0,2730000.0,0.0,280000.0,0.0,140000.0,256288.96702386905,300000.0,False,False
66,1,0,1,NORMAL,0.007717595278944308,0.007301171427841273,0.0005451358315755332,14.157196852460007,8302099432.849518,1697900567.1504822,4532694.152454,1952918.365828,2183.208176,6468000.0,0.0,2772000.0,2772000.0,0.0,280000.0,0.0,140000.0,256288.97085892037,300000.0,False,False
67,1,0,1,NORMAL,0.0077293995790472855,0.0073287990504997255,0.0005542512007555722,13.945661404991693,8289420569.634107,1710579430.3658934,4601448.579449,1982698.536473,2249.391173,6566000.0,0.0,2814000.0,2814000.0,0.0,280000.0,0.0,140000.0,256288.97355314263,300000.0,False,False
68,1,0,1,NORMAL,0.007741221917123268,0.007355406977378664,0.0005633934573259494,13.740347560771566,8276761069.48682,1723238930.5131798,4670205.313955,2012484.418384,2316.563104,6664000.0,0.0,2856000.0,2856000.0,0.0,280000.0,0.0,140000.0,256288.9754459031,300000.0,False,False
69,1,0,1,NORMAL,0.007753062325794803,0.007381062161147448,0.0005725626626484009,13.540984824146317,8264120902.816942,1735879097.1830578,4738964.35605,2042276.012656,2384.724002,6762000.0,0.0,2898000.0,2898000.0,0.0,280000.0,0.0,140000.0,256288.976775616,300000.0,False,False
70,1,0,1,NORMAL,0.007764920836242542,0.007405827236960034,0.0005817588782096858,13.347318153765759,8251500040.084822,1748499959.9151783,4807725.705812,2072073.320384,2453.8739,6860000.0,0.0,2940000.0,2940000.0,0.0,280000.0,0.0,140000.0,256288.9777097735,300000.0,False,False
