day,stage,motor_b,throttle,throttle_name,price,ema30,p_kash,price_over_pkash,supply,tokens_burned_total,vault_core_usd,vault_sociedad_usd,r_op_usd,burned_total_usd,recirculated_total_usd,staking_total_usd,om_total_usd,deferred_queue_usd,fee_total_usd,users,buy_pressure,sell_pressure,lp_depth_usd,burn_cap_hit,kash_lock_hit
52,1,0,1,NORMAL,0.002287930036817828,0.002119288482328923,0.0001461652385913319,15.65303801962603,8708621461.28718,1291378538.71282,1275133.72136,548783.94527,485.880571,1820000.0,0.0,780000.0,780000.0,0.0,100000.0,0.0,50000.0,79698.86648193031,60000.0,False,False
53,1,0,1,NORMAL,0.0022919490426036035,0.0021304278733143864,0.000149240306859187,15.357439895685358,8693350615.666529,1306649384.3334713,1299677.339203,559391.205204,504.573932,1855000.0,0.0,795000.0,795000.0,0.0,100000.0,0.0,50000.0,79698.86648222122,60000.0,False,False
54,1,0,1,NORMAL,0.0022959751082218343,0.002141108340082609,0.00015232582226507501,15.072789853229311,8678106547.960976,1321893452.0390244,1324221.78077,570000.499407,523.620318,1890000.0,0.0,810000.0,810000.0,0.0,100000.0,0.0,50000.0,79698.8664823774,60000.0,False,False
55,1,0,1,NORMAL,0.002300008246074869,0.0021513599469208194,0.00015542181219311128,14.798490724179135,8662889211.214584,1337110788.7854156,1348767.046089,580611.828269,543.01974,1925000.0,0.0,825000.0,825000.0,0.0,100000.0,0.0,50000.0,79698.86648246125,60000.0,False,False
56,1,0,1,NORMAL,0.0023040484685863992,0.002161210819286341,0.00015852830409168468,14.533987995316314,8647698558.55376,1352301441.4462395,1373313.135188,591225.192181,562.772211,1960000.0,0.0,840000.0,840000.0,0.0,100000.0,0.0,50000.0,79698.86648250624,60000.0,False,False
57,1,0,1,NORMAL,0.0023080957882017,0.0021706872688937832,0.00016164532547336823,14.278766066649846,8632534543.187107,1367465456.812893,1397860.048093,601840.591532,582.877742,1995000.0,0.0,855000.0,855000.0,0.0,100000.0,0.0,50000.0,79698.86648253041,60000.0,False,False
58,1,0,1,NORMAL,0.00231215021738778,0.0021798139107321057,0.00016477290391563856,14.032344896777255,8617397118.405277,1382602881.5947227,1422407.784833,612458.026713,603.336345,2030000.0,0.0,870000.0,870000.0,0.0,100000.0,0.0,50000.0,79698.8664825434,60000.0,False,False
59,1,0,1,NORMAL,0.002316211768633478,0.0021886137725321943,0.0001679110670605571,13.794276989485967,8602286237.580832,1397713762.4191685,1446956.345436,623077.498115,624.148032,2065000.0,0.0,885000.0,885000.0,0.0,100000.0,0.0,50000.0,79698.86648255035,60000.0,False,False
60,1,0,1,NORMAL,0.002320280454449534,0.002197108397172023,0.00017105984261491192,13.564144681653453,8587201854.168093,1412798145.8319073,1471505.729929,633699.006128,645.312814,2100000.0,0.0,900000.0,900000.0,0.0,100000.0,0.0,50000.0,79698.86648255409,60000.0,False,False
61,1,0,1,NORMAL,0.0023243562873686455,0.002205317938475031,0.00017421925835059277,13.341557697893489,8572143921.703005,1427856078.2969952,1496055.93834,644322.551142,666.830704,2135000.0,0.0,915000.0,915000.0,0.0,100000.0,0.0,50000.0,79698.86648255608,60000.0,False,False
62,1,0,1,NORMAL,0.002328439279945512,0.0022132612508279654,0.00017738934210450178,13.12615094188582,8557112393.802986,1442887606.1970139,1520606.970696,654948.133549,688.701713,2170000.0,0.0,930000.0,930000.0,0.0,100000.0,0.0,50000.0,79698.86648255719,60000.0,False,False
63,1,0,1,NORMAL,0.0023325294447568827,0.0022209559730169276,0.00018057012177893043,12.91758249802017,8542107224.16679,1457892775.83321,1545158.827025,665575.753738,710.925854,2205000.0,0.0,945000.0,945000.0,0.0,100000.0,0.0,50000.0,79698.86648255776,60000.0,False,False
64,1,0,1,NORMAL,0.0023366267944015954,0.002228418606654648,0.00018376162534146975,12.71553182042021,8527128366.574359,1472871633.425641,1569711.507354,676205.412101,733.503138,2240000.0,0.0,960000.0,960000.0,0.0,100000.0,0.0,50000.0,79698.86648255808,60000.0,False,False
65,1,0,1,NORMAL,0.0023407313415006186,0.002235664589547937,0.000186963880825506,12.519698089093641,8512175774.886685,1487824225.1133146,1594265.011712,686837.109029,756.433577,2275000.0,0.0,975000.0,975000.0,0.0,100000.0,0.0,50000.0,79698.86648255822,60000.0,False,False
66,1,0,1,NORMAL,0.002344843098697089,0.0022427083643317535,0.00019017691632989685,12.329798715578745,8497249403.045667,1502750596.9543333,1618819.340126,697470.844912,779.717183,2310000.0,0.0,990000.0,990000.0,0.0,100000.0,0.0,50000.0,79698.86648255831,60000.0,False,False
67,1,0,1,NORMAL,0.0023489620786563523,0.002249563442675276,0.00019340076001946767,12.145567982359047,8482349205.073965,1517650794.926035,1643374.492624,708106.620142,803.353967,2345000.0,0.0,1005000.0,1005000.0,0.0,100000.0,0.0,50000.0,79698.86648255835,60000.0,False,False
68,1,0,1,NORMAL,0.0023530882940660017,0.0022562424653456456,0.00019663544012492182,11.966755802367532,8467475135.074865,1532524864.9251347,1667930.469233,718744.43511,827.343942,2380000.0,0.0,1020000.0,1020000.0,0.0,100000.0,0.0,50000.0,79698.8664825584,60000.0,False,False
69,1,0,1,NORMAL,0.002357221757635917,0.0022627572583966307,0.00019988098494322132,11.793126586330937,8452627147.232134,1547372852.7678661,1692487.269981,729384.290207,851.687119,2415000.0,0.0,1035000.0,1035000.0,0.0,100000.0,0.0,50000.0,79698.86648255841,60000.0,False,False
70,1,0,1,NORMAL,0.0023613624820983067,0.002269118885732223,0.000203137422837497,11.624458207227114,8437805195.809877,1562194804.1901226,1717044.894895,740026.185824,876.383511,2450000.0,0.0,1050000.0,1050000.0,0.0,100000.0,0.0,50000.0,79698.8664825584,60000.0,False,False
71,1,0,1,NORMAL,0.002365510480207742,0.0022753376982790306,0.00020640478223743082,11.460541052225507,8423009235.152402,1576990764.847598,1741603.344003,750670.122352,901.433129,2485000.0,0.0,1065000.0,1065000.0,0.0,100000.0,0.0,50000.0,79698.8664825584,60000.0,False,False
72,1,0,1,NORMAL,0.0023696657647411996,0.0022814233799862676,0.0002096830916392844,11.301177153652953,8408239219.684072,1591760780.3159285,1766162.617333,761316.100183,926.835985,2520000.0,0.0,1080000.0,1080000.0,0.0,100000.0,0.0,50000.0,79698.86648255841,60000.0,False,False
73,1,0,1,NORMAL,0.002373828348498101,0.002287384990857999,0.00021297237960604597,11.146179391380157,8393495103.90917,1606504896.0908298,1790722.714913,771964.119709,952.592091,2555000.0,0.0,1095000.0,1095000.0,0.0,100000.0,0.0,50000.0,79698.86648255841,60000.0,False,False
74,1,0,1,NORMAL,0.0023779982443003513,0.0022932310072091185,0.00021627267476757725,10.995370759879515,8378776842.411757,1621223157.5882425,1815283.636771,782614.18132,978.701458,2590000.0,0.0,1110000.0,1110000.0,0.0,100000.0,0.0,50000.0,79698.86648255841,60000.0,False,False
75,1,0,1,NORMAL,0.0023821754649923786,0.0022989693593241677,0.00021958400582052222,10.848583693930141,8364084389.855534,1635915610.1444664,1839845.382933,793266.285409,1005.164099,2625000.0,0.0,1125000.0,1125000.0,0.0,100000.0,0.0,50000.0,79698.8664825584,60000.0,False,False
76,1,0,1,NORMAL,0.0023863600234411736,0.002304607466686555,0.0002229064015290504,10.705659447515552,8349417700.983697,1650582299.016303,1864407.953428,803920.432367,1031.980025,2660000.0,0.0,1140000.0,1140000.0,0.0,100000.0,0.0,50000.0,79698.8664825584,60000.0,False,False
