day,stage,motor_b,throttle,throttle_name,price,ema30,p_kash,price_over_pkash,supply,tokens_burned_total,vault_core_usd,vault_sociedad_usd,r_op_usd,burned_total_usd,recirculated_total_usd,staking_total_usd,om_total_usd,deferred_queue_usd,fee_total_usd,users,buy_pressure,sell_pressure,lp_depth_usd,burn_cap_hit,kash_lock_hit
38,1,0,0,ACELERADO,0.00041802907951571627,0.0002838513291008309,8.727593983112837e-05,4.789740223073707,6989778554.516606,3010221445.4833937,614862.301086,264327.152849,172.414741,877800.0,0.0,376200.0,376200.0,0.0,66000.0,0.0,33000.0,17135.325769055406,300000.0,False,False
39,1,0,0,ACELERADO,0.0004308840945399638,0.00029333731396787173,9.02823279228539e-05,4.7726294220963545,6936167849.705924,3063832150.294076,631053.479567,271309.174768,181.491232,900900.0,0.0,386100.0,386100.0,0.0,66000.0,0.0,33000.0,17531.584170979626,300000.0,False,False
40,1,0,0,ACELERADO,0.00044393307858941474,0.0003030531697499068,9.331452402459402e-05,4.757384589695936,6884132979.780485,3115867020.219515,647245.20145,278292.535705,190.80061,924000.0,0.0,396000.0,396000.0,0.0,66000.0,0.0,33000.0,17932.10642098647,300000.0,False,False
41,1,0,0,ACELERADO,0.00045716776227470887,0.0003129960466869908,9.637197141638527e-05,4.743783441966413,6833604482.571796,3166395517.4282036,663437.466754,285277.235917,200.342883,947100.0,0.0,405900.0,405900.0,0.0,66000.0,0.0,33000.0,18336.56608279723,300000.0,False,False
42,1,0,0,ACELERADO,0.00047057936115587186,0.00032316271213659605,9.945414271930824e-05,4.73162151207717,6784516056.884661,3215483943.1153393,679630.275497,292263.27566,210.118058,970200.0,0.0,415800.0,415800.0,0.0,66000.0,0.0,33000.0,18744.622017406607,300000.0,False,False
43,1,0,0,ACELERADO,0.00048415860031636774,0.0003335495436320652,0.00010256053959676395,4.720710345518152,6736804418.622105,3263195581.3778954,695823.627697,299250.655192,220.126144,993300.0,0.0,425700.0,425700.0,0.0,66000.0,0.0,33000.0,19155.919390803232,300000.0,False,False
44,1,0,0,ACELERADO,0.0004978957423878415,0.000344152524196954,0.00010569069237112136,4.710875964739968,6690409163.484522,3309590836.515478,712017.523373,306239.374769,230.367148,1016400.0,0.0,435600.0,435600.0,0.0,66000.0,0.0,33000.0,19570.0907875512,300000.0,False,False
45,1,0,0,ACELERADO,0.0005117806188803442,0.00035496723998297916,0.00010884415956463419,4.701957559573391,6645272635.941651,3354727364.0583487,728211.962543,313229.434649,240.841078,1039500.0,0.0,445500.0,445500.0,0.0,66000.0,0.0,33000.0,19986.75742398926,300000.0,False,False
46,1,0,0,ACELERADO,0.000525802664632023,0.00036598888028291745,0.00011202052737442213,4.693806367064833,6601339804.189713,3398660195.8102875,744406.945225,320220.835088,251.547941,1062600.0,0.0,455400.0,455400.0,0.0,66000.0,0.0,33000.0,20405.53045350501,300000.0,False,False
47,1,0,0,ACELERADO,0.0005399509551528691,0.00037721223995194664,0.00011521940908923727,4.686284710370957,6558558140.819083,3441441859.180917,760602.471436,327213.576344,262.487746,1085700.0,0.0,465300.0,465300.0,0.0,66000.0,0.0,33000.0,20826.01235510633,300000.0,False,False
48,1,0,0,ACELERADO,0.0005542142465999198,0.00038863172425181587,0.00011844044445704759,4.6792651711207105,6516877508.930391,3483122491.0696087,776798.541196,334207.658673,273.6605,1108800.0,0.0,475200.0,475200.0,0.0,66000.0,0.0,33000.0,21247.798395365335,300000.0,False,False
49,1,0,0,ACELERADO,0.0005685810180870185,0.00040024135611215156,0.00012168329900881527,4.672629873766226,6476250053.448814,3523749946.5511856,792995.154523,341203.082333,285.066211,1131900.0,0.0,485100.0,485100.0,0.0,66000.0,0.0,33000.0,21670.478152774915,300000.0,False,False
50,1,0,0,ACELERADO,0.0005830395160015454,0.00041203478578243503,0.0001249476633478781,4.666269863552809,6436630097.397776,3563369902.6022243,809192.311435,348199.847581,296.704887,1155000.0,0.0,495000.0,495000.0,0.0,66000.0,0.0,33000.0,22093.637092656212,300000.0,False,False
51,1,0,0,ACELERADO,0.0005975777999740668,0.00042400530282705643,0.00012823325241009137,4.660084562645314,6397974042.904114,3602025957.095886,825390.01195,355197.954675,308.576536,1178100.0,0.0,504900.0,504900.0,0.0,66000.0,0.0,33000.0,22516.85818000667,300000.0,False,False
52,1,0,0,ACELERADO,0.0006121837901251506,0.00043614585039467545,0.00013153980470105087,4.653981291187518,6360240276.717202,3639759723.282798,841588.256086,362197.403871,320.681166,1201200.0,0.0,514800.0,514800.0,0.0,66000.0,0.0,33000.0,22939.723517098955,300000.0,False,False
53,1,0,0,ACELERADO,0.0006268453151971141,0.00044844904167225214,0.0001348670815160998,4.647874842033148,6323389080.034435,3676610919.9655647,857787.043862,369198.195427,333.018784,1224300.0,0.0,524700.0,524700.0,0.0,66000.0,0.0,33000.0,23361.815992244243,300000.0,False,False
54,1,0,0,ACELERADO,0.0006415501611675468,0.0004609071784138841,0.00013821486614773364,4.641687099575913,6287382542.435005,3712617457.564995,873986.375297,376200.329601,345.589399,1247400.0,0.0,534600.0,534600.0,0.0,66000.0,0.0,33000.0,23782.72092592905,300000.0,False,False
55,1,0,0,ACELERADO,0.0006562861199363006,0.00047351227141533036,0.0001415829630851831,4.63534669451329,6252184479.73296,3747815520.2670403,890186.250408,383203.80665,358.393018,1270500.0,0.0,544500.0,544500.0,0.0,66000.0,0.0,33000.0,24202.02770052719,300000.0,False,False
56,1,0,0,ACELERADO,0.0006710410376783608,0.0004862560627871388,0.00014497119721133264,4.628788687591141,6217760355.569227,3782239644.430773,906386.669213,390208.626832,371.429648,1293600.0,0.0,554400.0,554400.0,0.0,66000.0,0.0,33000.0,24619.331359979416,300000.0,False,False
57,1,0,0,ACELERADO,0.0006858028624615679,0.0004991300498629084,0.00014837941299951216,4.621954276526371,6184077206.570568,3815922793.429432,922587.631731,397214.790404,384.699298,1316700.0,0.0,564300.0,564300.0,0.0,66000.0,0.0,33000.0,25034.23416621929,300000.0,False,False
58,1,0,0,ACELERADO,0.0007005596907403895,0.0005121255105646813,0.0001518074737135459,4.61479052119868,6151103570.911362,3848896429.0886383,938789.137979,404222.297624,398.201976,1339800.0,0.0,574200.0,574200.0,0.0,66000.0,0.0,33000.0,25446.347099696595,300000.0,False,False
59,1,0,0,ACELERADO,0.0007152998123545566,0.0005252335300349959,0.00015525526061586155,4.607250082973862,6118809420.121693,3881190579.8783073,954991.187977,411231.148749,411.937689,1362900.0,0.0,584100.0,584100.0,0.0,66000.0,0.0,33000.0,25855.291292098616,300000.0,False,False
60,1,0,0,ACELERADO,0.0007300117536839907,0.0005384450283349311,0.00015872267218328964,4.599290974896065,6087166093.992454,3912833906.0075464,971193.781742,418241.344037,425.906445,1386000.0,0.0,594000.0,594000.0,0.0,66000.0,0.0,33000.0,26260.69938027804,300000.0,False,False
61,1,0,0,ACELERADO,0.0007446843186385483,0.0005517507889996806,0.00016220962333646224,4.590876319920254,6056146238.435092,3943853761.564908,987396.919293,425252.883746,440.108252,1409100.0,0.0,603900.0,603900.0,0.0,66000.0,0.0,33000.0,26662.21677144695,300000.0,False,False
62,1,0,0,ACELERADO,0.0007593066271921257,0.0005651414882379029,0.0001657160446817959,4.581974115120407,6025723746.160235,3974276253.8397646,1003600.600648,432265.768134,454.543118,1432200.0,0.0,613800.0,613800.0,0.0,66000.0,0.0,33000.0,27059.50281086666,300000.0,False,False
63,1,0,0,ACELERADO,0.0007738681512049373,0.0005786077245583569,0.00016924188176977893,4.572557000149858,5995873700.045749,4004126299.9542513,1019804.825825,439279.997459,469.211051,1455300.0,0.0,623700.0,623700.0,0.0,66000.0,0.0,33000.0,27452.231844530572,300000.0,False,False
64,1,0,0,ACELERADO,0.0007883587473146147,0.0005921400486071477,0.00017278709437026587,4.562602028744339,5966572319.070799,4033427680.929201,1036009.594842,446295.571979,484.112058,1478400.0,0.0,633600.0,633600.0,0.0,66000.0,0.0,33000.0,27840.09417067626,300000.0,False,False
65,1,0,0,ACELERADO,0.0008027686867154344,0.0006057289930012308,0.00017635165576638249,4.552090442399262,5937796906.698257,4062203093.3017426,1052214.907718,453312.491951,499.246147,1501500.0,0.0,643500.0,643500.0,0.0,66000.0,0.0,33000.0,28222.796875348264,300000.0,False,False
66,1,0,0,ACELERADO,0.0008170886816847296,0.0006193651019485533,0.0001799355520674251,4.541007445702291,5909525801.593276,4090474198.406724,1068420.764471,460330.757634,514.613326,1524600.0,0.0,653400.0,653400.0,0.0,66000.0,0.0,33000.0,28600.064548638773,300000.0,False,False
67,1,0,0,ACELERADO,0.0008313099087556517,0.0006330389604522371,0.0001835387815426023,4.529341983033113,5881738330.5710945,4118261669.4289055,1084627.165119,467350.369286,530.213604,1547700.0,0.0,663300.0,663300.0,0.0,66000.0,0.0,33000.0,28971.63987963447,300000.0,False,False
68,1,0,0,ACELERADO,0.0008454240284752084,0.000646741222905332,0.0001871613539757919,4.517086516613673,5854414763.672171,4145585236.3278294,1100834.109681,474371.327165,546.046987,1570800.0,0.0,673200.0,673200.0,0.0,66000.0,0.0,33000.0,29337.284129470056,300000.0,False,False
69,1,0,0,ACELERADO,0.0008594232017252623,0.0006604626408937147,0.00019080329004112748,4.504236806084498,5827536271.267466,4172463728.7325344,1117041.598174,481393.631529,562.113484,1593900.0,0.0,683100.0,683100.0,0.0,66000.0,0.0,33000.0,29696.77748321077,300000.0,False,False
70,1,0,0,ACELERADO,0.0008733001026213237,0.0006741940900374314,0.00019446462070162675,4.490791689873788,5801084883.101287,4198915116.898713,1133249.630617,488417.282636,578.413102,1617000.0,0.0,693000.0,693000.0,0.0,66000.0,0.0,33000.0,30049.91928253669,300000.0,False,False
71,1,0,0,ACELERADO,0.0008870479280389802,0.0006879265957149507,0.0001981453866288704,4.476752868843904,5775043449.183429,4224956550.816571,1149458.207029,495442.280744,594.94585,1640100.0,0.0,702900.0,702900.0,0.0,66000.0,0.0,33000.0,30396.52814236418,300000.0,False,False
72,1,0,0,ACELERADO,0.0009006604038502105,0.0007016513575301288,0.00020184563764482524,4.462124692707229,5749395602.446467,4250604397.5535326,1165667.327427,502468.626112,611.711734,1663200.0,0.0,712800.0,712800.0,0.0,66000.0,0.0,33000.0,30736.441955599475,300000.0,False,False
73,1,0,0,ACELERADO,0.0009141317879812689,0.0007153597723979444,0.00020556543218683558,4.446913949765771,5724125723.088029,4275874276.911971,1181876.99183,509496.318999,628.710763,1686300.0,0.0,722700.0,722700.0,0.0,66000.0,0.0,33000.0,31069.51779116436,300000.0,False,False
74,1,0,0,ACELERADO,0.0009274568704299988,0.000729043456141948,0.0002093048367934275,4.431129660636311,5699218904.521587,4300781095.478413,1198087.200256,516525.359662,645.942945,1709400.0,0.0,732600.0,732600.0,0.0,66000.0,0.0,33000.0,31395.6316912562,300000.0,False,False
75,1,0,0,ACELERADO,0.000940630970403143,0.000742694263513638,0.0002130639256126156,4.414782876540823,5674660920.862917,4325339079.137083,1214297.952723,523555.748361,663.408288,1732500.0,0.0,742500.0,742500.0,0.0,66000.0,0.0,33000.0,31714.678374498468,300000.0,False,False
76,1,0,0,ACELERADO,0.0009536499307533471,0.0007563043065613612,0.00021684277993157743,4.397886482797637,5650438195.882743,4349561804.117257,1230509.249249,530587.485353,681.106799,1755600.0,0.0,752400.0,752400.0,0.0,66000.0,0.0,33000.0,32026.570852200468,300000.0,False,False
77,1,0,0,ACELERADO,0.0009665101099110611,0.0007698659712936,0.00022064148772770183,4.380455008098255,5626537773.359355,4373462226.640645,1246721.089853,537620.570898,699.038486,1778700.0,0.0,762300.0,762300.0,0.0,66000.0,0.0,33000.0,32331.239965377874,300000.0,False,False
