iteracion,vault_final_usd,supply_final,precio_luka_final,precio_kash_final,dia_activacion_b2,espiral_muerte,ruina_total,r_op_final
103,211416999.04,3300000000.0,0.06406576,0.06406576,447,0,0,1991349.32
104,122850588.91,3300000000.0,0.03722745,0.03722745,393,0,0,1847726.12
105,791524343.59,3709054133.0,0.21340329,0.21340329,421,0,0,2292749.68
106,96416137.71,3300000000.0,0.02921701,0.02921701,595,0,0,1836706.44
107,91103326.64,3300000000.0,0.02760707,0.02760707,402,0,0,1861143.36
108,203692674.99,3300000000.0,0.06172505,0.06172505,421,0,0,2062036.36
109,213002231.12,3300000000.0,0.06454613,0.06454613,363,0,0,2045575.85
110,198277087.57,3300000000.0,0.06008397,0.06008397,511,0,0,1864710.87
111,183283663.52,3643029339.0,0.05031078,0.05031078,343,0,0,2022482.06
112,154560944.28,3300000000.0,0.04683665,0.04683665,533,0,0,1901192.45
113,684688465.51,3300000000.0,0.20748135,0.20748135,449,0,0,2373762.35
114,492251676.79,3300000000.0,0.14916717,0.14916717,534,0,0,1991878.84
115,145475336.18,3300000000.0,0.04408344,0.04408344,536,0,0,2005692.03
116,173622524.21,3300000000.0,0.05261289,0.05261289,534,0,0,1871260.53
117,152533815.7,3300000000.0,0.04622237,0.04622237,495,0,0,1845331.2
118,133558626.6,3300000000.0,0.04047231,0.04047231,542,0,0,1833654.0
119,408666130.8,3300000000.0,0.12383822,0.12383822,435,0,0,2207937.71
120,187388163.4,3300000000.0,0.05678429,0.05678429,457,0,0,1950073.02
121,100210838.92,3300000000.0,0.03036692,0.03036692,656,0,0,1790452.64
122,238655890.26,3300000000.0,0.07231997,0.07231997,485,0,0,1766352.53
123,126258579.91,3387450621.0,0.03727245,0.03727245,378,0,0,1875146.25
124,426043660.47,3300000000.0,0.12910414,0.12910414,505,0,0,2414811.07
125,92653141.52,3300000000.0,0.02807671,0.02807671,457,0,0,1829046.57
126,541252376.53,3982006709.0,0.13592453,0.13592453,400,0,0,2173611.62
127,152234580.45,3300000000.0,0.04613169,0.04613169,451,0,0,1936624.48
128,130546874.71,3302953813.0,0.03952428,0.03952428,437,0,0,2031212.57
129,127402665.97,3300000000.0,0.03860687,0.03860687,522,0,0,1819620.83
130,155965553.74,3300000000.0,0.04726229,0.04726229,546,0,0,1863105.46
131,200109725.13,3300000000.0,0.06063931,0.06063931,482,0,0,1942234.86
132,223651057.0,3300000000.0,0.06777305,0.06777305,467,0,0,1786893.09
133,113625012.78,3300000000.0,0.03443182,0.03443182,509,0,0,2045902.25
134,124822082.97,3300000000.0,0.03782487,0.03782487,546,0,0,1843793.86
135,185568969.51,3300000000.0,0.05623302,0.05623302,638,0,0,1872355.26
136,116666774.23,3300000000.0,0.03535357,0.03535357,484,0,0,1827717.15
137,137896273.49,3300000000.0,0.04178675,0.04178675,476,0,0,1825496.7
138,132739665.46,3300000000.0,0.04022414,0.04022414,442,0,0,1797548.39
139,95219187.69,3300000000.0,0.0288543,0.0288543,664,0,0,1806047.66
140,168519188.53,3300000000.0,0.05106642,0.05106642,559,0,0,1992077.73
141,189039132.62,3300000000.0,0.05728459,0.05728459,482,0,0,1904137.3
142,135329876.41,3300000000.0,0.04100905,0.04100905,537,0,0,1853772.07
143,134172124.15,3300000000.0,0.04065822,0.04065822,480,0,0,1970845.52
144,163791132.53,3300000000.0,0.04963368,0.04963368,575,0,0,1783355.35
145,290106609.98,3300000000.0,0.08791109,0.08791109,557,0,0,2018775.7
146,616183798.78,3300000000.0,0.18672236,0.18672236,451,0,0,2353787.99
147,177290178.96,3300000000.0,0.0537243,0.0537243,477,0,0,1780847.89
148,266203861.33,3300000000.0,0.08066784,0.08066784,382,0,0,2046693.14
149,130321000.38,3300000000.0,0.03949121,0.03949121,580,0,0,1764699.25
150,97315349.26,3300000000.0,0.0294895,0.0294895,533,0,0,1815306.49
151,243938813.1,3300000000.0,0.07392085,0.07392085,566,0,0,1793703.08
152,327283374.27,3300000000.0,0.09917678,0.09917678,491,0,0,1898617.93
153,127784317.77,3300000000.0,0.03872252,0.03872252,436,0,0,1987210.23
154,120213905.42,3300000000.0,0.03642846,0.03642846,388,0,0,1824100.98
155,184890011.96,3300000000.0,0.05602728,0.05602728,548,0,0,1889836.96
156,191559731.51,3300000000.0,0.0580484,0.0580484,459,0,0,1882597.79
157,120087172.25,3300000000.0,0.03639005,0.03639005,557,0,0,1796984.88
158,123207375.85,3300000000.0,0.03733557,0.03733557,431,0,0,1961922.03
159,100608866.82,3300000000.0,0.03048754,0.03048754,425,0,0,1885122.7
160,121363631.71,3300000000.0,0.03677686,0.03677686,546,0,0,2014156.66
161,163651833.97,3300000000.0,0.04959146,0.04959146,563,0,0,1817469.14
162,132057044.34,3300000000.0,0.04001729,0.04001729,481,0,0,1895435.58
163,709580816.26,4084178458.0,0.17373894,0.17373894,350,0,0,2741337.25
164,122166869.75,3300000000.0,0.03702026,0.03702026,530,0,0,1901330.83
165,176897333.94,3300000000.0,0.05360525,0.05360525,535,0,0,1908594.17
166,127636338.32,3300000000.0,0.03867768,0.03867768,481,0,0,1868802.23
167,179014062.57,3300000000.0,0.05424669,0.05424669,544,0,0,1824385.96
168,195380625.61,3300000000.0,0.05920625,0.05920625,486,0,0,1903395.18
169,836725167.64,3958030076.0,0.2113994,0.2113994,366,0,0,2438022.17
170,334420745.15,3300000000.0,0.10133962,0.10133962,425,0,0,2156662.52
171,94333555.19,3300000000.0,0.02858593,0.02858593,562,0,0,1724382.86
172,124867702.56,3300000000.0,0.0378387,0.0378387,634,0,0,1851861.65
173,202341318.91,3300000000.0,0.06131555,0.06131555,470,0,0,1886013.94
174,1142071571.82,3300000000.0,0.34608229,0.34608229,472,0,0,2461022.11
175,215149988.36,3300000000.0,0.06519697,0.06519697,554,0,0,1814339.09
176,199981867.22,3300000000.0,0.06060057,0.06060057,381,0,0,1844090.16
177,352966678.08,3300000000.0,0.1069596,0.1069596,504,0,0,2062343.53
178,449887626.21,3300000000.0,0.13632958,0.13632958,515,0,0,1955011.71
179,136646158.47,3300000000.0,0.04140793,0.04140793,620,0,0,1821148.85
180,84950451.52,3300000000.0,0.02574256,0.02574256,549,0,0,1746353.18
181,117383934.69,3300000000.0,0.03557089,0.03557089,420,0,0,1914808.0
182,123773231.11,3300000000.0,0.03750704,0.03750704,415,0,0,1918031.03
183,125557397.93,3300000000.0,0.0380477,0.0380477,468,0,0,1907279.79
184,119801532.85,3300000000.0,0.03630349,0.03630349,434,0,0,2173828.5
185,98695742.93,3300000000.0,0.0299078,0.0299078,554,0,0,1776454.26
186,98764847.64,3300000000.0,0.02992874,0.02992874,651,0,0,1835274.56
187,167109288.29,3340646176.0,0.05002304,0.05002304,382,0,0,1916442.19
188,154780534.52,3300000000.0,0.04690319,0.04690319,496,0,0,1843435.98
189,108155687.35,3300000000.0,0.03277445,0.03277445,552,0,0,1924957.84
190,126079867.95,3300000000.0,0.03820602,0.03820602,556,0,0,1841037.47
191,133946699.53,3300000000.0,0.04058991,0.04058991,419,0,0,1911046.82
192,127620339.85,3300000000.0,0.03867283,0.03867283,613,0,0,1964389.16
193,170803124.82,3300000000.0,0.05175852,0.05175852,489,0,0,1873490.23
194,143731265.86,3300000000.0,0.04355493,0.04355493,449,0,0,2002553.57
195,117990546.09,3300000000.0,0.03575471,0.03575471,481,0,0,1919515.82
196,187750766.03,3300000000.0,0.05689417,0.05689417,470,0,0,1922748.56
197,144244027.82,3300000000.0,0.04371031,0.04371031,404,0,0,1876791.78
198,200313113.71,3300000000.0,0.06070094,0.06070094,456,0,0,2028681.22
199,104271995.41,3300000000.0,0.03159757,0.03159757,486,0,0,1907149.6
200,213183726.48,3300000000.0,0.06460113,0.06460113,468,0,0,1931479.04
201,499958787.83,3300000000.0,0.15150266,0.15150266,413,0,0,2071861.13
202,188126545.15,3300000000.0,0.05700804,0.05700804,429,0,0,2012659.47
203,936863170.52,3486364954.0,0.26872206,0.26872206,380,0,0,2663869.74
204,133518493.09,3300000000.0,0.04046015,0.04046015,619,0,0,1881133.48
205,252363234.57,3300000000.0,0.07647371,0.07647371,426,0,0,2293040.63
206,136409029.74,3300000000.0,0.04133607,0.04133607,450,0,0,1828518.77
207,138820058.49,3300000000.0,0.04206668,0.04206668,616,0,0,1725908.64
208,100881834.64,3300000000.0,0.03057025,0.03057025,498,0,0,1863699.28
209,168268168.46,3300000000.0,0.05099035,0.05099035,445,0,0,1936958.86
210,97503164.7,3300000000.0,0.02954641,0.02954641,655,0,0,1777281.74
211,109350860.18,3300000000.0,0.03313662,0.03313662,465,0,0,1894992.44
212,168678462.31,3300000000.0,0.05111469,0.05111469,596,0,0,1870729.6
213,487552147.77,3853612713.0,0.1265182,0.1265182,392,0,0,2588203.45
214,358056194.76,3300000000.0,0.10850188,0.10850188,453,0,0,2148430.97
215,126662184.43,3300000000.0,0.03838248,0.03838248,412,0,0,1910535.63
216,151962363.82,3300000000.0,0.0460492,0.0460492,511,0,0,1894593.35
217,248825557.94,3300000000.0,0.07540168,0.07540168,473,0,0,1935228.43
218,119888160.35,3300000000.0,0.03632975,0.03632975,510,0,0,1789147.99
219,138379336.26,3300000000.0,0.04193313,0.04193313,525,0,0,1853441.82
220,288909950.74,3300000000.0,0.08754847,0.08754847,472,0,0,1838038.33
221,503278810.18,3300000000.0,0.15250873,0.15250873,492,0,0,2274135.57
222,243227332.49,3300000000.0,0.07370525,0.07370525,522,0,0,1922255.99
223,117955414.3,3300000000.0,0.03574406,0.03574406,477,0,0,1892628.26
224,161212223.19,3300000000.0,0.04885219,0.04885219,534,0,0,1856193.17
225,123014188.9,3300000000.0,0.03727703,0.03727703,518,0,0,1857362.11
226,286949960.52,3556074491.0,0.0806929,0.0806929,373,0,0,2045319.21
227,279057709.26,3300000000.0,0.08456294,0.08456294,491,0,0,1969373.38
228,198031473.23,3300000000.0,0.06000954,0.06000954,566,0,0,1900722.13
229,205617667.15,3300000000.0,0.06230838,0.06230838,484,0,0,1945949.73
230,109041566.54,3300000000.0,0.0330429,0.0330429,548,0,0,1979465.66
231,175811578.36,3468891718.0,0.05068235,0.05068235,429,0,0,1876158.3
232,211772471.78,3300000000.0,0.06417348,0.06417348,529,0,0,1863663.64
233,180165357.48,3300000000.0,0.05459556,0.05459556,476,0,0,1869130.35
234,122286271.14,3300000000.0,0.03705645,0.03705645,400,0,0,2016168.31
235,261263432.69,3300000000.0,0.07917074,0.07917074,487,0,0,2095917.49
236,124159021.46,3300000000.0,0.03762395,0.03762395,536,0,0,1873276.53
237,117795197.93,3300000000.0,0.03569551,0.03569551,568,0,0,1787920.75
238,118809623.92,3300000000.0,0.03600292,0.03600292,515,0,0,1806259.46
239,252091219.94,3411729242.0,0.07388957,0.07388957,451,0,0,2059982.6
240,1092104444.86,3300000000.0,0.33094074,0.33094074,468,0,0,2776054.93
241,191009052.51,3300000000.0,0.05788153,0.05788153,451,0,0,2303579.15
242,140979145.57,3300000000.0,0.04272095,0.04272095,547,0,0,1865454.66
243,97785409.58,3300000000.0,0.02963194,0.02963194,572,0,0,1829445.4
244,175842907.54,3300000000.0,0.05328573,0.05328573,621,0,0,1905419.02
245,107452918.69,3300000000.0,0.03256149,0.03256149,484,0,0,1860924.8
246,268222971.61,3300000000.0,0.08127969,0.08127969,569,0,0,1778549.13
247,135405789.54,3300000000.0,0.04103206,0.04103206,472,0,0,1890119.12
248,367871173.2,3300000000.0,0.11147611,0.11147611,485,0,0,2069941.6
249,122597510.21,3300000000.0,0.03715076,0.03715076,635,0,0,1798281.72
250,112951107.28,3300000000.0,0.03422761,0.03422761,578,0,0,1773932.18
251,99332559.83,3300000000.0,0.03010078,0.03010078,637,0,0,1827478.28
252,109946247.3,3300000000.0,0.03331704,0.03331704,465,0,0,1868952.56
253,270561641.22,3300000000.0,0.08198838,0.08198838,486,0,0,1968619.7
254,480542247.24,3300000000.0,0.14561886,0.14561886,434,0,0,2022534.67
255,96721738.0,3300000000.0,0.02930962,0.02930962,636,0,0,1873844.4
256,139464907.76,3300000000.0,0.04226209,0.04226209,508,0,0,1884097.93
257,408109036.98,3300000000.0,0.12366941,0.12366941,469,0,0,1871048.91
258,221961916.35,3300000000.0,0.06726119,0.06726119,464,0,0,1841887.49
259,242906603.55,3300000000.0,0.07360806,0.07360806,574,0,0,1858859.06
260,429524209.03,3300000000.0,0.13015885,0.13015885,448,0,0,2311345.49
261,106994214.92,3300000000.0,0.03242249,0.03242249,493,0,0,1879812.4
262,373605597.72,3300000000.0,0.11321382,0.11321382,400,0,0,2138473.36
263,235416615.7,3300000000.0,0.07133837,0.07133837,490,0,0,1820637.78
264,147062827.02,3300000000.0,0.04456449,0.04456449,546,0,0,1826051.1
265,105084224.16,3300000000.0,0.0318437,0.0318437,635,0,0,1829199.84
266,796981618.4,3300000000.0,0.24150958,0.24150958,471,0,0,2648288.52
267,364585431.85,3300000000.0,0.11048043,0.11048043,541,0,0,1915676.28
268,109210885.36,3300000000.0,0.03309421,0.03309421,472,0,0,1924676.0
269,367038249.75,3300000000.0,0.11122371,0.11122371,426,0,0,1918017.6
270,290662371.37,3300000000.0,0.08807951,0.08807951,539,0,0,2017659.96
271,98695904.57,3300000000.0,0.02990785,0.02990785,554,0,0,1833891.0
272,354734487.25,3300000000.0,0.1074953,0.1074953,492,0,0,1884048.22
273,132874299.59,3300000000.0,0.04026494,0.04026494,532,0,0,1774676.52
274,140740937.22,3300000000.0,0.04264877,0.04264877,457,0,0,1985714.94
275,106888409.93,3300000000.0,0.03239043,0.03239043,489,0,0,1950670.57
276,105270525.55,3300000000.0,0.03190016,0.03190016,524,0,0,1892157.94
277,242446565.05,3300000000.0,0.07346866,0.07346866,514,0,0,2034974.2
278,121797981.32,3300000000.0,0.03690848,0.03690848,637,0,0,1947283.58
279,632617706.82,3451388121.0,0.1832937,0.1832937,410,0,0,2664329.8
280,151797763.49,3300000000.0,0.04599932,0.04599932,470,0,0,1886312.78
281,110836617.49,3300000000.0,0.03358685,0.03358685,458,0,0,1949794.21
282,318323823.05,3300000000.0,0.09646176,0.09646176,488,0,0,2020664.76
283,273158011.23,3300000000.0,0.08277515,0.08277515,598,0,0,1784370.67
284,169955896.42,3300000000.0,0.05150179,0.05150179,505,0,0,1949481.2
285,621351303.62,3567212375.0,0.174184,0.174184,344,0,0,2305722.43
286,117656503.66,3300000000.0,0.03565349,0.03565349,554,0,0,1704719.08
287,448132788.82,3300000000.0,0.13579781,0.13579781,406,0,0,2289102.44
288,266253296.13,3300000000.0,0.08068282,0.08068282,543,0,0,1931339.32
289,193580571.05,3300000000.0,0.05866078,0.05866078,466,0,0,1879902.04
290,101335423.18,3300000000.0,0.0307077,0.0307077,483,0,0,1905444.31
291,116611084.73,3300000000.0,0.03533669,0.03533669,520,0,0,1949341.07
292,290880919.47,3569634246.0,0.0814876,0.0814876,350,0,0,2154885.13
293,95227954.78,3300000000.0,0.02885696,0.02885696,538,0,0,1827463.4
294,166500908.08,3300000000.0,0.05045482,0.05045482,593,0,0,1949274.78
295,184995751.9,3300000000.0,0.05605932,0.05605932,473,0,0,1875331.36
296,422612691.73,3432771459.0,0.12311122,0.12311122,501,0,0,2241049.46
297,152453822.17,3620559770.0,0.0421078,0.0421078,354,0,0,2006201.28
298,93542384.57,3300000000.0,0.02834618,0.02834618,563,0,0,1792950.19
299,271041949.59,3347638581.0,0.08096512,0.08096512,390,0,0,1981437.82
300,184455259.65,3300000000.0,0.05589553,0.05589553,471,0,0,2160380.51
301,230196194.89,3300000000.0,0.06975642,0.06975642,494,0,0,1902234.11
302,157563158.06,3300000000.0,0.04774641,0.04774641,491,0,0,1857694.66
303,251980321.81,3300000000.0,0.07635767,0.07635767,482,0,0,2039510.62
304,364396847.89,3300000000.0,0.11042329,0.11042329,452,0,0,1963237.87
305,105331552.45,3300000000.0,0.03191865,0.03191865,586,0,0,1933691.69
306,170264185.05,3300000000.0,0.05159521,0.05159521,469,0,0,1872125.93
307,311483281.43,3300000000.0,0.09438887,0.09438887,537,0,0,1875370.66
308,140894435.66,3300000000.0,0.04269528,0.04269528,585,0,0,1813930.54
309,149684636.25,3300000000.0,0.04535898,0.04535898,405,0,0,1818839.54
310,109532659.24,3300000000.0,0.03319171,0.03319171,459,0,0,1979246.36
311,115527621.3,3300000000.0,0.03500837,0.03500837,573,0,0,1878065.42
312,205241315.78,3300000000.0,0.06219434,0.06219434,494,0,0,1904767.53
313,1098017305.61,3300000000.0,0.33273252,0.33273252,476,0,0,2634351.66
314,1323668398.09,3300000000.0,0.40111164,0.40111164,474,0,0,2617910.95
315,192288625.07,3300000000.0,0.05826928,0.05826928,516,0,0,1886327.92
316,113955837.38,3300000000.0,0.03453207,0.03453207,494,0,0,1922220.65
317,1979449750.81,3300000000.0,0.59983326,0.59983326,419,0,0,2742089.42
318,427810347.62,3855434038.0,0.11096295,0.11096295,383,0,0,2245200.9
319,161088964.69,3300000000.0,0.04881484,0.04881484,586,0,0,1797794.47
320,131853142.92,3300000000.0,0.0399555,0.0399555,407,0,0,1871571.91
321,194599205.08,3300000000.0,0.05896946,0.05896946,467,0,0,1930065.84
322,116001962.71,3300000000.0,0.03515211,0.03515211,600,0,0,1894578.34
323,436049036.03,3300000000.0,0.13213607,0.13213607,552,0,0,2048905.76
324,338075092.36,3300000000.0,0.102447,0.102447,535,0,0,1818287.75
325,128297276.86,3300000000.0,0.03887796,0.03887796,418,0,0,2007997.22
326,194245634.95,3300000000.0,0.05886231,0.05886231,474,0,0,1856290.08
327,230304103.79,3300000000.0,0.06978912,0.06978912,366,0,0,1884791.81
328,119049698.32,3300000000.0,0.03607567,0.03607567,441,0,0,1802001.77
329,247892827.31,3300000000.0,0.07511904,0.07511904,481,0,0,1885052.21
330,210283147.65,3300000000.0,0.06372217,0.06372217,508,0,0,1926479.73
331,404924106.99,3300000000.0,0.12270427,0.12270427,456,0,0,1909676.1
332,121025759.77,3300000000.0,0.03667447,0.03667447,525,0,0,1732039.58
333,1274534608.69,3300000000.0,0.38622261,0.38622261,492,0,0,2659830.24
334,251056357.5,3300000000.0,0.07607768,0.07607768,463,0,0,2001096.47
335,189183598.51,3300000000.0,0.05732836,0.05732836,522,0,0,1938178.4
336,397483126.99,3352445247.0,0.11856514,0.11856514,341,0,0,2064310.32
337,103685394.89,3300000000.0,0.03141982,0.03141982,572,0,0,1820893.3
338,143392190.37,3300000000.0,0.04345218,0.04345218,643,0,0,1850985.85
339,118365395.16,3300000000.0,0.0358683,0.0358683,556,0,0,1951798.31
340,132963423.41,3300000000.0,0.04029195,0.04029195,626,0,0,1779752.61
341,100667144.24,3300000000.0,0.0305052,0.0305052,638,0,0,1881554.97
342,128681813.22,3300000000.0,0.03899449,0.03899449,468,0,0,1938400.57
